127.0.0.1 - - [31/Dec/2024:23:31:45 +0545] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [31/Dec/2024:23:31:45 +0545] "GET /HttpSession/ HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [31/Dec/2024:23:31:45 +0545] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [31/Dec/2024:23:31:53 +0545] "POST /HttpSession/Servlet HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [31/Dec/2024:23:32:02 +0545] "POST /HttpSession/New.jsp HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [31/Dec/2024:23:32:33 +0545] "GET /HttpSession/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:23:32:34 +0545] "GET /HttpSession/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:23:32:34 +0545] "GET /HttpSession/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:23:32:35 +0545] "GET /HttpSession/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2024:23:32:37 +0545] "POST /HttpSession/Servlet HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [31/Dec/2024:23:32:41 +0545] "POST /HttpSession/New.jsp HTTP/1.1" 200 160
